index,1_0_560,1_0_777,1_0.1_560,1_0.1_777,1_0.3_560,1_0.3_777,1_0.6_560,1_0.6_777
403,5800,16451,5946,17869,5973,16944,5906,15678
404,5780,16436,6015,17750,5895,17043,5948,15864
405,5759,16553,6047,17813,5985,17171,5980,15652
406,5787,16528,5916,18101,5909,16989,5883,15881
407,5792,16253,6009,17871,5933,16996,5930,15807
408,5780,16401,6012,17742,5907,16975,5925,15800
409,5897,16536,6022,17840,5894,16997,5893,15673
410,5767,16502,5881,17868,6015,17168,5867,15603
411,5711,16336,6123,17743,5902,16977,5947,15693
412,5861,16525,5949,17784,5957,17032,5910,15807
413,5787,16272,6115,17955,5962,17145,5857,15777
414,5800,16304,5946,17936,5985,16943,5869,15688
415,5879,16321,5942,17850,5991,17112,5829,15842
416,5789,16313,5937,17683,5933,16949,5830,15715
417,5843,16513,6010,17839,5929,16976,5941,15725
418,5829,16247,5969,18016,6039,17072,5850,15713
419,5798,16406,6031,17874,6000,16966,5842,15816
420,5746,16407,6027,17777,5956,17003,5935,15969
421,5792,16357,6008,17770,6012,16848,5887,15858
422,5842,16458,5961,17857,5962,17025,5971,15637
423,5823,16420,5985,17813,5936,17335,5908,15704
424,5883,16554,6013,17910,5929,17019,5901,15733
425,5871,16550,5997,17986,6006,17013,5804,15696
426,5848,16517,5988,17728,5902,16976,5826,15652
427,5844,16393,5927,17941,5868,16917,5933,16000
428,5860,16511,5947,17967,6011,16970,5840,15741
429,5797,16402,5953,17936,5935,16980,5933,15844
430,5817,16349,5953,17804,5980,16942,5796,15799
431,5820,16377,5884,17935,5963,17164,5893,15527
432,5689,16331,5921,17822,6004,17087,5884,15749
433,5881,16488,6000,17949,5869,17025,5799,15686
434,5772,16459,6082,17941,5877,16992,5864,15517
435,5931,16540,6108,17825,6051,17006,5793,15934
436,5718,16169,5954,17868,5883,17153,5897,15753
437,5808,16577,5936,17896,5882,17048,5861,15849
438,5795,16327,5955,17777,6000,16955,5917,15666
439,5764,16595,5999,17889,5956,16949,5943,15779
440,5676,16558,6017,17933,6002,17046,5909,15745
441,5780,16418,5982,17783,5959,16983,5841,15702
442,5788,16607,6004,17947,5978,16823,5854,15692
443,5794,16461,5940,17680,5933,17023,5808,15791
444,5873,16477,5954,17866,5895,16849,5909,15736
445,5732,16445,6024,17809,5979,17061,5931,15573
446,5815,16349,6022,17797,5892,16913,5854,15592
447,5762,16537,6020,17907,6044,16883,5914,15916
448,5805,16471,6018,17920,5927,17013,5873,15716
449,5869,16503,5997,17840,5938,17040,5807,15839
450,5716,16384,6046,17791,5881,16999,5864,15920
451,5700,16360,5974,17914,5906,16983,5860,15773
452,5713,16508,5937,17993,5906,16983,5909,15730
453,5791,16230,6049,17873,5965,17074,5906,15809
454,5807,16472,6074,17797,6016,17057,5956,15774
455,5797,16482,6005,17856,5923,17050,5926,15869
456,5769,16511,5952,17863,5975,16885,5838,15813
457,5778,16383,6055,17887,5966,17157,5940,15720
458,5816,16479,5997,17984,5884,17089,5975,15779
459,5828,16526,6052,17947,5997,16976,5936,15909
460,5723,16398,6027,17833,5964,17081,5875,15679
461,5778,16173,6061,17792,5974,17085,5933,15899
462,5831,16411,6020,17925,5957,17115,5896,15746
463,5813,16449,6011,18070,5994,17071,5884,15733
464,5853,16369,5911,17959,6029,16977,5872,15675
465,5799,16484,5854,17824,6084,16864,5848,15805
466,5828,16382,5980,17871,6029,17053,5916,15708
467,5783,16274,6041,17917,5807,17048,5931,15814
468,5850,16561,5911,17969,6022,17133,5970,15872
469,5811,16528,6105,17856,5928,16947,5917,15813
470,5873,16491,5973,17772,5973,17084,5876,15745
471,5820,16321,5947,17797,5954,17008,5906,15830
472,5817,16493,5920,17896,5927,16844,5775,15677
473,5944,16447,5881,17764,5988,17166,5900,15716
474,5770,16499,5922,17831,5983,17167,5938,15673
475,5785,16571,6117,17831,5957,17030,5863,15703
476,5784,16240,5927,17813,5933,17061,5901,15861
477,5849,16521,5977,17709,5881,17026,5887,15748
478,5800,16584,5953,17914,5936,16950,5812,15677
479,5892,16533,5983,17593,5995,16868,5835,15746
480,5753,16447,6038,17928,5895,16945,5899,15677
481,5817,16498,5928,17952,5989,16974,5859,15717
482,5796,16387,5917,17895,5922,17058,5931,15629
483,5809,16456,5920,17712,5923,16897,5867,15737
484,5808,16375,5958,18046,5995,16913,5907,15728
485,5799,16395,5921,17892,6015,16973,5931,15545
486,5867,16537,5933,17911,5901,17023,5871,15799
487,5861,16451,6018,17652,6042,17041,5802,15809
488,5783,16480,5906,17916,5972,16899,5943,15722
489,5798,16335,5909,17822,5966,17061,5941,15610
490,5752,16603,5986,17922,5945,16927,5951,15756
491,5884,16370,6009,17849,6005,16950,5923,15820
492,5853,16373,6020,17927,5902,16959,5868,15859
493,5698,16352,6062,17819,5940,16988,5853,15632
494,5828,16506,6003,17828,5884,16893,5858,15650
495,5828,16350,6009,17933,5974,16927,5937,15640
496,5779,16487,5961,17768,5969,16929,5965,15654
497,5877,16488,5949,17748,5939,16923,5882,15890
498,5758,16485,5897,17814,5896,16940,5885,15673
499,5835,16184,5940,17865,6026,16841,5886,15841
500,5766,16242,5951,17745,5981,17051,5836,15807
501,5755,16348,5982,17767,5929,16884,5891,15726
502,5888,16352,5956,17830,5954,16930,5889,15684
503,5694,16325,5977,17946,5877,16983,5905,15834
504,5751,16531,6010,17727,5901,16975,5897,15635
505,5794,16322,6013,17801,5977,16923,5801,15635
506,5858,16391,5958,17890,5954,16997,6002,15658
507,5721,16326,6058,17891,5981,16930,5995,15756
508,5826,16362,5908,17857,5985,17024,5832,15593
509,5774,16431,5959,17867,5910,16885,5966,15769
510,5892,16437,6050,17914,5962,16938,5946,15660
511,5864,16389,5972,17885,6036,16996,5920,15807
512,5860,16318,6036,17930,5908,16850,5857,15609
513,5880,16428,5873,17868,5998,16946,5874,15717
514,5761,16432,5969,17818,5958,16946,5774,15726
515,5694,16423,5898,17888,5967,16828,5914,15618
516,5750,16481,6025,17777,5925,16901,5860,15485
517,5771,16353,5920,17884,5960,17116,5908,15774
518,5775,16294,5950,17870,6004,16937,5799,15783
519,5732,16361,5977,17840,5901,17007,5928,15807
520,5869,16422,6063,17837,5949,16961,6020,15684
521,5827,16233,5976,18013,5952,16990,5883,15642
522,5726,16279,5981,17857,5931,16928,5922,15595
523,5791,16440,5905,17899,6006,16961,6010,15615
524,5712,16235,5928,17915,6009,16822,5870,15731
525,5843,16365,5988,17843,5919,16751,5945,15634
526,5747,16364,6057,18089,6000,16958,5807,15682
527,5753,16314,6061,17795,5884,16985,5949,15721
528,5782,16469,6015,17710,5913,16969,5791,15703
529,5709,16351,5950,17897,5906,16880,5925,15690
530,5844,16302,5992,17853,5957,16869,5895,15624
531,5771,16293,5953,17915,6010,17125,5943,15808
